R,redcap,name,full,plottype,vartype
contact_s2,contact,Further research ,Would you be happy to be contacted about any further COVID-19 related research focusing on the psychological impact on Doctors?,,
complete_s2,cera_survey_2_complete,,Complete?,,
timestamp_s3,cera_survey_3_timestamp,,Survey Timestamp,,
consent_s3,consent_2_3,Consent,I consent to taking part in CERA survey 3.,,
ghq_conc_s3,ghq_1_3,Concentration,Been able to concentrate on whatever you're doing?,,
ghq_sleep_s3,ghq_2_3,Losing Sleep,Lost much sleep over worry?,,
ghq_use_s3,ghq_3_3,Playing a useful part,Felt that you are playing a useful part in things?,,
ghq_capable_s3,ghq_4_3,Capable of making decisions,Felt capable of making decisions about things?,,
ghq_strain_s3,ghq_5_3,Under strain,Felt constantly under strain?,,
ghq_diffs_s3,ghq_6_3,Overcoming difficulties ,Felt you couldn't overcome your difficulties?,,
ghq_day_s3,ghq_7_3,Enjoying day to day activities ,Been able to enjoy your normal day-to-day activities?,,
ghq_face_s3,ghq_8_3,Facing up to problems,Been able to face up to your problems?,,
ghq_depressed_s3,ghq_9_3,Feeling unhappy or depressed,Been feeling unhappy and depressed?,,
ghq_loseconf_s3,ghq_10_3,Losing confidence in yourself,Been losing confidence in yourself?,,
ghq_worthless_s3,ghq_11_3,Thinking of yourself as a worthless person,Been thinking of yourself as a worthless person?,,
ghq_happy_s3,ghq_12_3,"Feeling happy, all things considered","Been feeling reasonably happy, all things considered?",,
iesr_reminder_s3,any_reminder_brought_back_3,Any reminder brought back feelings about it,Any reminder brought back feelings about it,,
iesr_staysleep_s3,i_had_trouble_staying_asle_3,I had trouble staying asleep,I had trouble staying asleep,,
iesr_things_s3,other_things_kept_me_think_3,Other things kept me thinking about it,Other things kept me thinking about it,,
iesr_angry_s3,i_felt_irritable_and_angry_3,I felt irritable and angry,I felt irritable and angry,,
iesr_avoid_s3,i_avoided_letting_myself_g_3,I avoided letting myself get upset when I thought about it or was reminded of it,I avoided letting myself get upset when I thought about it or was reminded of it,,
iesr_thought_s3,i_thought_about_it_when_i_3,I thought about it when I didn't mean to,I thought about it when I didn't mean to,,
iesr_real_s3,i_felt_as_if_it_hadn_t_hap_3,I felt as if it hadn't happened or wasn't real,I felt as if it hadn't happened or wasn't real,,
iesr_away_s3,i_stayed_away_from_reminde_3,I stayed away from reminders of it,I stayed away from reminders of it,,
iesr_pics_s3,pictures_about_it_popped_i_3,Pictures about it popped into my head,Pictures about it popped into my head,,
iesr_jumpy_s3,i_was_jumpy_and_easily_sta_3,I was jumpy and easily startled,I was jumpy and easily startled,,
iesr_notthink_s3,i_tried_not_to_think_about_3,I tried not to think about it,I tried not to think about it,,
iesr_aware_s3,i_was_aware_that_i_still_h_3,"I was aware that I still had a lot of feelings about it, but I didn't deal with them","I was aware that I still had a lot of feelings about it, but I didn't deal with them",,
iesr_numb_s3,my_feelings_about_it_were_3,My feelings about it were kind of numb,My feelings about it were kind of numb,,
iesr_acting_s3,i_found_myself_acting_or_f_3,I found myself acting or feeling like I was back at that time,I found myself acting or feeling like I was back at that time,,
iesr_fallsleep_s3,i_had_trouble_falling_asle_3,I had trouble falling asleep,I had trouble falling asleep,,
iesr_waves_s3,i_had_waves_of_strong_feel_3,I had waves of strong feelings about it,I had waves of strong feelings about it,,
iesr_remove_s3,i_tried_to_remove_it_from_3,I tried to remove it from my memory,I tried to remove it from my memory,,
iesr_conc_s3,i_had_trouble_concentratin_3,I had trouble concentrating,I had trouble concentrating,,
iesr_reactions_s3,reminders_of_it_caused_me_3,"Reminders of it caused me to have physical reactions, such as sweating, trouble breathing, nausea or a pounding heart","Reminders of it caused me to have physical reactions, such as sweating, trouble breathing, nausea or a pounding heart",,
iesr_dreams_s3,i_had_dreams_about_it_3,I had dreams about it,I had dreams about it,,
iesr_watchful_s3,i_felt_watchful_and_on_gua_3,I felt watchful and on-guard,I felt watchful and on-guard,,
iesr_nottalk_s3,i_tried_not_to_talk_about_3,I tried not to talk about it,I tried not to talk about it,,
confident_infectiontraining_s3,infec_train2_3,Confidence in infection control training provided,How confident do you feel in the infection control training that has been provided to you?  ,,professional
prepared_suspected_s3,recon_152_3,How prepared do you feel to provide direct care to suspected COVID-19 cases?,How prepared do you feel to provide direct care to suspected cases?,,professional
prepared_normal_s3,recon_162_3,How was the care for patients not presenting with COVID-19 related symptoms?,How do you feel the care received by patients who are NOT presenting with either symptoms or a diagnosis of COVID-19 is?,,professional
undeployed_s3,have_you_been_deployed_to2_3,Have you been deployed back to your usual clinical area after re-deployment?,Have you been deployed back to your usual clinical area after re-deployment?,,professional
exposure_s3,how_many_suspected_cases_o2_3,Exposure to suspected COVID-19 cases,How many  suspected cases of COVID-19 have you had direct clinical contact with since March 1st 2020?,,professional
exposure_confirmed_s3,how_many_suspected_cases_o_22_3,Exposure to confirmed COVID-19 cases,"As far as you are aware, how many of these suspected cases have turned out to be  confirmed  cases of COVID-19?",,professional
witness_death_s3,covid_19_death_3,How many patients have you witnessed dying with COVID-19?,How many patients have you witnessed dying with COVID-19?,,personal
increasesympmental_s3,ment_health2_3,Concern that COVID-19 will increase symptoms of a medical condition,Do you feel exposure to the COVID-19 pandemic has increased symptoms of any established mental health condition(s) you have personally?,,personal
increasesympmedical_s3,phys_health2_4,Concern that COVID-19 will increase symptoms of a mental health condition,Do you feel exposure to the COVID-19 pandemic has increased symptoms of any established physical health condition(s) you have personally?,,personal
death_risk_s3,risk_death_3,Feelings of high risk of dying/death,"During the COVID-19 pandemic, have you felt at high risk of dying/death?",,personal
perceived_risk_s3,perceived_risk2_3,Perceived risk to health due to clinical role,I feel that my personal health is at risk during the COVID-19 outbreak due to my clinical role?,,professional
worry_personal_s3,risk2_3,Worried about risks if I am infected with COVID-19,How worried are you about the potential risks if you were to become infected with COVID-19?,,personal
worry_family_s3,worried2_3,Worried about risks if I infect family with COVID-19,"How worried are you about the potential risks to your family, loved ones or others due to your clinical role in the COVID-19 outbreak?",,personal
unwellfam_home_s3,love_icu_3___1,"Have any of your family, friends or loved ones become unwell or died due to COVID-19 or its complications? 1","Have any of your family, friends, or loved ones become unwell or died due to COVID-19 or its complications? (select all that apply) (choice=Unwell at home)",,personal
unwellfam_ward_s3,love_icu_3___2,"Have any of your family, friends or loved ones become unwell or died due to COVID-19 or its complications? 2","Have any of your family, friends, or loved ones become unwell or died due to COVID-19 or its complications? (select all that apply) (choice=Unwell and required non-ICU hospital treatment)",,personal
unwellfam_icu_s3,love_icu_3___3,"Have any of your family, friends or loved ones become unwell or died due to COVID-19 or its complications? 3","Have any of your family, friends, or loved ones become unwell or died due to COVID-19 or its complications? (select all that apply) (choice=Unwell and required ICU treatment)",,personal
unwellfam_died_s3,love_icu_3___4,"Have any of your family, friends or loved ones become unwell or died due to COVID-19 or its complications? 4","Have any of your family, friends, or loved ones become unwell or died due to COVID-19 or its complications? (select all that apply) (choice=Died)",,personal
unwellcol_home_s3,colle_icu_3___1,Have any of your colleagues become unwell or died due to COVID-19 or its complications? 1,Have any of your colleagues become unwell or died due to COVID-19 or its complications? (select all that apply) (choice=Unwell at home),,personal
unwellcol_ward_s3,colle_icu_3___2,Have any of your colleagues become unwell or died due to COVID-19 or its complications? 2,Have any of your colleagues become unwell or died due to COVID-19 or its complications? (select all that apply) (choice=Unwell and required non-ICU hospital treatment),,personal
unwellcol_icu_s3,colle_icu_3___3,Have any of your colleagues become unwell or died due to COVID-19 or its complications? 3,Have any of your colleagues become unwell or died due to COVID-19 or its complications? (select all that apply) (choice=Unwell and required ICU treatment),,personal
unwellcol_died_s3,colle_icu_3___4,Have any of your colleagues become unwell or died due to COVID-19 or its complications? 4,Have any of your colleagues become unwell or died due to COVID-19 or its complications? (select all that apply) (choice=Died),,personal
supportfam_s3,support_fam_3,Feelings of support from family during the pandemic,In the last 2 weeks I have felt well supported by friends and family,,personal
supportcol_s3,support_coll_3,Feeling of support from colleagues during the pandemic,In the last 2 weeks I have felt well supported by the senior clinical leadership team,,personal
coviddiag_s3,diagnosis_3,Personal Positive Coronavirus diagnosis,Have you received a positive diagnosis of Coronavirus during this pandemic?,,personal
covidadmit_s3,hospital_3,Personal admission to hospital due to COVID-19,Have you been admitted to hospital due to your diagnosis of Coronavirus?,,personal
selfisolate_s3,self_isolate_22_3,Self-isolation ,Have you had to self-isolate?,,personal
selfisolatereason_symptomspersonal_s3,self_isolate2_3___1,personal symptoms,For what reason did you have to self-isolate? (select all that apply) (choice=Personal symptoms),,personal
selfisolatereason_diagnosispersonal_s3,self_isolate2_3___5,personal diagnosis,For what reason did you have to self-isolate? (select all that apply) (choice=Personal diagnosis of COVID-19),,personal
selfisolatereason_symptomshousehold_s3,self_isolate2_3___2,symptoms of a household member,For what reason did you have to self-isolate? (select all that apply) (choice=Symptoms of a member of the household),,personal
selfisolatereason_diagnosiswork_s3,self_isolate2_3___3,exposure at work,For what reason did you have to self-isolate? (select all that apply) (choice=Exposure to a positive case of COVID-19 in the work environment),,personal
selfisolatereason_diagnosisplay_s3,self_isolate2_3___4,exposure at home,For what reason did you have to self-isolate? (select all that apply) (choice=Exposure to a positive case of COVID-19 in your personal environment),,personal
selfisolatereason_other_s3,self_isolate2_3___6,other,For what reason did you have to self-isolate? (select all that apply) (choice=Other (eg return from travel to high risk area)),,personal
missedshifts_s3,self_isolate_32_3,How many clinical shifts in your rota have you missed due to self-isolation?,How many clinical shifts in your rota have you missed due to self-isolation?,,professional
antibody_test,antibody,Have you had a Covid-19 antibody test,Have you had a COVID-19 antibody test?,,personal
antibody_result,antibody_result,Covid-19 antibody test result,What was the result of your COVID-19 antibody test,,personal
psychint_therapist_s3,psych_inter_3___1,have you been offered psychological support? 1,Have you been offered any of the following psychological interventions via your current place of work? (Select all that apply) (choice=Structured individual therapy with a therapist (in person/on telephone)),,
psychint_helpline_s3,psych_inter_3___2,have you been offered psychological support? 2,Have you been offered any of the following psychological interventions via your current place of work? (Select all that apply) (choice=Advice line / helpline),,
psychint_webint_s3,psych_inter_3___3,have you been offered psychological support? 3,Have you been offered any of the following psychological interventions via your current place of work? (Select all that apply) (choice=Internet based psychological intervention),,
psychint_app_s3,psych_inter_3___4,have you been offered psychological support? 4,Have you been offered any of the following psychological interventions via your current place of work? (Select all that apply) (choice=Well-being app / website),,
psychint_trim_s3,psych_inter_3___5,have you been offered psychological support? 5,Have you been offered any of the following psychological interventions via your current place of work? (Select all that apply) (choice=Brief TRiM / safe space session (trauma risk management)),,
psychint_other_s3,psych_inter_3___6,have you been offered psychological support? 6,Have you been offered any of the following psychological interventions via your current place of work? (Select all that apply) (choice=Other please state),,
ft_psychint_s3,psych_other_3,have you been offered psychological support? 7,"Other, please specify",,
feelings_contribution_s3,work_3___1,Experienced feelings that you made a contribution,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=Feelings that you made a contribution),,personal
feelings_accomplish_s3,work_3___2,Experienced a sense of personal accomplishment,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=A sense of personal accomplishment),,personal
feelings_confidence_s3,work_3___3,Experienced improved confidence,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=Improved confidence and self esteem),,personal
feelings_compassion_s3,work_3___4,Experienced increased compassion,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=Increased compassion),,personal
feelings_purpose_s3,work_3___5,Experienced a re-evaluation of self and purpose,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=Re-evaluation of self and purpose),,personal
feelings_satisfaction_s3,work_3___6,Experienced work satisfaction,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=Work satisfaction),,personal
feelings_cohesion_s3,work_3___7,Experienced a sense of team cohesion,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=A sense of team cohesion),,personal
positive_impact,other,Post trauma growth - other,Have you experienced any other factors during the COVID-19 pandemic  that have made a positive impact on your psychological health?,,personal
opt1_s3,opt_1,Format of psychological intervention 1 ,a) Format,,
opt2_s3,opt_2,Format of psychological intervention 2,b) Timing,,
opt3_s3,opt_3,Format of psychological intervention 3,c) Mode of therapy,,
ft_opt,please_specify,,Please specify,,
complete_s3,cera_survey_3_complete,,Complete?,,
send_s2,send_survey_2,,Send survey 2?,,
send_s3,send_survey_3,,Send survey 3?,,
complete_s4,office_use_complete,,Complete?,,
