R,redcap,full,plottype
coviddiag_s3,diagnosis_3,Have you received a positive diagnosis of Coronavirus during this pandemic?,
covidadmit_s3,hospital_3,Have you been admitted to hospital due to your diagnosis of Coronavirus?,
selfisolate_s3,self_isolate_22_3,Have you had to self-isolate?,
selfisolatereason_symptomspersonal_s3,self_isolate2_3___1,For what reason did you have to self-isolate? (select all that apply) (choice=Personal symptoms),
selfisolatereason_diagnosispersonal_s3,self_isolate2_3___5,For what reason did you have to self-isolate? (select all that apply) (choice=Personal diagnosis of COVID-19),
selfisolatereason_symptomshousehold_s3,self_isolate2_3___2,For what reason did you have to self-isolate? (select all that apply) (choice=Symptoms of a member of the household),
selfisolatereason_diagnosiswork_s3,self_isolate2_3___3,For what reason did you have to self-isolate? (select all that apply) (choice=Exposure to a positive case of COVID-19 in the work environment),
selfisolatereason_diagnosisplay_s3,self_isolate2_3___4,For what reason did you have to self-isolate? (select all that apply) (choice=Exposure to a positive case of COVID-19 in your personal environment),
selfisolatereason_other_s3,self_isolate2_3___6,For what reason did you have to self-isolate? (select all that apply) (choice=Other (eg return from travel to high risk area)),
missedshifts_s3,self_isolate_32_3,How many clinical shifts in your rota have you missed due to self-isolation?,
antibody_test,antibody,Have you had a COVID-19 antibody test?,
antibody_result,antibody_result,What was the result of your COVID-19 antibody test,
psychint_therapist_s3,psych_inter_3___1,Have you been offered any of the following psychological interventions via your current place of work? (Select all that apply) (choice=Structured individual therapy with a therapist (in person/on telephone)),
psychint_helpline_s3,psych_inter_3___2,Have you been offered any of the following psychological interventions via your current place of work? (Select all that apply) (choice=Advice line / helpline),
psychint_webint_s3,psych_inter_3___3,Have you been offered any of the following psychological interventions via your current place of work? (Select all that apply) (choice=Internet based psychological intervention),
psychint_app_s3,psych_inter_3___4,Have you been offered any of the following psychological interventions via your current place of work? (Select all that apply) (choice=Well-being app / website),
psychint_trim_s3,psych_inter_3___5,Have you been offered any of the following psychological interventions via your current place of work? (Select all that apply) (choice=Brief TRiM / safe space session (trauma risk management)),
psychint_other_s3,psych_inter_3___6,Have you been offered any of the following psychological interventions via your current place of work? (Select all that apply) (choice=Other please state),
ft_psychint_s3,psych_other_3,"Other, please specify",
feelings_contribution_s3,work_3___1,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=Feelings that you made a contribution),
feelings_accomplish_s3,work_3___2,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=A sense of personal accomplishment),
feelings_confidence_s3,work_3___3,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=Improved confidence and self esteem),
feelings_compassion_s3,work_3___4,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=Increased compassion),
feelings_purpose_s3,work_3___5,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=Re-evaluation of self and purpose),
feelings_satisfaction_s3,work_3___6,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=Work satisfaction),
feelings_cohesion_s3,work_3___7,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=A sense of team cohesion),
positive_impact,other,Have you experienced any other factors during the COVID-19 pandemic  that have made a positive impact on your psychological health?,
opt1_s3,opt_1,a) Format,
opt2_s3,opt_2,b) Timing,
opt3_s3,opt_3,c) Mode of therapy,
ft_opt,please_specify,Please specify,
complete_s3,cera_survey_3_complete,Complete?,
send_s2,send_survey_2,Send survey 2?,
send_s3,send_survey_3,Send survey 3?,
complete_s4,office_use_complete,Complete?,
