Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
formal_fit_testing_for_mas,cera_survey_1,,checkbox,Formal fit testing for mask,"1, No training | 2, Formal instructional video | 3, Written instruction | 4, Simulation training | 5, Departmental guidance | 6, Other",,,,,,,,,,ppe,,
ppe_training_for_exposure,cera_survey_1,,checkbox,PPE training for exposure to aerosol generating procedure (e.g. intubation),"1, No training | 2, Formal instructional video | 3, Written instruction | 4, Simulation training | 5, Departmental guidance | 6, Other",,,,,,,,,,ppe,,
other_please_specify_3,cera_survey_1,,text,Other. Please specify. ,,,,,,,[ppe_training_for_exposure(6)] = '1' or [donning_and_doffing(6)] = '1' or [formal_fit_testing_for_mas(6)] = '1',,,,,,
furtherppe,cera_survey_1,,text,If you have had any further PPE training please specify,,,,,,,,,,,,,
ppe_2,cera_survey_1,,checkbox,What practical education have you received in regards to the clinical care of patients presenting with suspected/diagnosed COVID-19?,"0, None | 1, Simulation training of a possible case | 2, Simulation training of a case requiring aerosol procedure | 3, Other",,,,,,,,,,,,
ppe_3,cera_survey_1,,text,You selected other. Please specify.,,,,,,,[ppe_2(3)] = '1',,,,,,
departmental_guidance,cera_survey_1,How frequently do you access the following sources of information regarding policy and clinical aspects of COVID-19?,radio,Government Guidance,"1, Hourly | 2, Up to twice a day | 3, Daily | 4, Several times a week | 5, Weekly | 6, Less than weekly | 7, Never",,,,,,,,,,time,,
online_governmental_guidan,cera_survey_1,,radio,College Guidance,"1, Hourly | 2, Up to twice a day | 3, Daily | 4, Several times a week | 5, Weekly | 6, Less than weekly | 7, Never",,,,,,,,,,time,,
daily_governmental_tv_brie,cera_survey_1,,radio,Trust Guidance,"1, Hourly | 2, Up to twice a day | 3, Daily | 4, Several times a week | 5, Weekly | 6, Less than weekly | 7, Never",,,,,,,,,,time,,
twitter,cera_survey_1,,radio,Departmental guidance,"1, Hourly | 2, Up to twice a day | 3, Daily | 4, Several times a week | 5, Weekly | 6, Less than weekly | 7, Never",,,,,,,,,,time,,
podcasts,cera_survey_1,,radio,Social Media,"1, Hourly | 2, Up to twice a day | 3, Daily | 4, Several times a week | 5, Weekly | 6, Less than weekly | 7, Never",,,,,,,,,,time,,
facebook,cera_survey_1,,radio,Online blogs and podcasts,"1, Hourly | 2, Up to twice a day | 3, Daily | 4, Several times a week | 5, Weekly | 6, Less than weekly | 7, Never",,,,,,,,,,time,,
peer_review_literature,cera_survey_1,,radio,Peer review literature,"1, Hourly | 2, Up to twice a day | 3, Daily | 4, Several times a week | 5, Weekly | 6, Less than weekly | 7, Never",,,,,,,,,,time,,
infec_train,cera_survey_1,,radio,"How confident do you feel in the infection control training that has been provided to you?
","1, Not confident at all | 2, Somewhat not confident | 5, Neither not confident or confident | 3, Somewhat confident | 4, Very confident",,,,,,,,,,,,
recon_15,cera_survey_1,,radio,How prepared do you feel to provide direct care to suspected cases?,"1, Completely unprepared | 2, Somewhat unprepared | 5, Neither unprepared or prepared | 3, Somewhat prepared | 4, Very prepared",,,,,,,,,,,,
recon_16,cera_survey_1,,radio,"How do you feel the care received by patients who are NOT presenting with either symptoms or a diagnosis of COVID-19 is?
","1, Significantly worse than before Covid-19 | 2, Slightly worse than before Covid-19 | 3, The same as before Covid-19 | 4, Slightly better than before Covid-19 | 5, Significantly better than before Covid-19",,,,,,,,,,,,
how_many_suspected_cases_o,cera_survey_1,,radio,"How many  <font color=""red"">suspected <font color=""black"">cases of COVID-19 have you had direct clinical contact with since March 1st 2020?","0, 0 | 1, 1-5 | 2, 6-10 | 3, 11-15 | 4, 16-20 | 5, 21-25 | 6, 26-30 | 7, 31-35 | 8, > 36",,,,,,,,,,,,
how_many_suspected_cases_o_2,cera_survey_1,,radio,"As far as you are aware, how many of these suspected cases have turned out to be  <font color=""red"">confirmed <font color=""black""> cases of COVID-19?","0, 0 | 1, 1-5 | 2, 6-10 | 3, 11-15 | 4, 16-20 | 5, 21-25 | 6, 26-30 | 7, 31-35 | 8, > 36",,,,,,[how_many_suspected_cases_o] = '8' or [how_many_suspected_cases_o] = '7' or [how_many_suspected_cases_o] = '6' or [how_many_suspected_cases_o] = '5' or [how_many_suspected_cases_o] = '4' or [how_many_suspected_cases_o] = '3' or [how_many_suspected_cases_o] = '2' or [how_many_suspected_cases_o] = '1',,,,,,
do_you_consider_yourself_t,cera_survey_1,Personal Factors,radio,Are you concerned that the exposure to the COVID-19 outbreak may increase symptoms of any established medical health conditions? ,"0, Yes | 1, No | 2, Prefer not to disclose | 3, I do not have an established medical condition",,,,,,,,,,,,
ment_health,cera_survey_1,,radio,Are you concerned that the exposure to the COVID-19 outbreak may increase symptoms of any established mental health conditions? ,"0, Yes | 1, No | 2, Prefer not to disclose | 3, I do not have an established mental health condition",,,,,,,,,,,,
perceived_risk,cera_survey_1,,radio,I feel that my personal health is at risk during the COVID-19 outbreak due to my clinical role?,"1, Strongly disagree | 2, Disagree | 5, Neither agree nor disagree | 3, Agree | 4, Strongly agree",,,,,,,,,,,,
risk,cera_survey_1,,radio,How worried are you about the potential risks if you were to become infected with COVID-19?,"1, Extremely worried | 2, Generally worried | 5, Neither worried or not worried | 3, Generally not worried | 4, Not worried at all",,,,,,,,,,,,
worried,cera_survey_1,,radio,How worried are you about the potential risks to your family. loved ones or others due to your clinical role in the COVID-19 outbreak? ,"1, Extremely worried | 2, Generally worried | 5, Neither worried or not worried | 3, Generally not worried | 4, Not worried at all",,,,,,,,,,,,
self_isolate_2,cera_survey_1,PERA Questions: Self-isolate,yesno,Have you had to self-isolate?,,,,,,,,,,,,,
self_isolate,cera_survey_1,,checkbox,For what reason did you have to self-isolate?,"1, Personal symptoms | 5, Personal diagnosis of COVID-19 | 2, Symptoms of a member of the household | 3, Exposure to a positive case of COVID-19 in the work environment | 4, Exposure to a positive case of COVID-19 in your personal environment | 6, Other (eg return from travel to high risk area)",,,,,,[self_isolate_2] = '1',,,,,,
other_please_specify_eg_re,cera_survey_1,,text,Other - please specify ,,,,,,,[self_isolate(6)] = '1',,,,,,
self_isolate_3,cera_survey_1,,radio,How many clinical shifts in your rota have you missed due to self-isolation?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5-7 | 6, 8-10 | 7, >10",,,,,,[self_isolate_2] = '1',,,,,,
date_survey_completed,cera_survey_1,,text,Date survey completed,,,date_dmy,,,,,,,,,, @HIDDEN-SURVEY @TODAY
introducing,cera_survey_2,,descriptive,This is part 2 of the PERA survey. Thank you for taking the time to fill out the questions below.,,,,,,,,,,,,,
recon_10,cera_survey_2,,slider,"How confident are you at recognising a patient presenting with symptoms suggestive of COVID-19?

1 = not confident at all
100= very confident",Not confident at all | Very confident,"Click on the box to move the ""slider"" to register a response",number,,,,,,RH,,,,
recon_11,cera_survey_2,,slider,"How confident are you about the process of diagnosing a patient with symptoms of COVID-19?

1 = not confident at all
100= very confident",Not confident at all | Very confident,,number,,,,,,RH,,,,
recon_17,cera_survey_2,,slider,"How confident are you about managing a patient with symptoms of COVID-19 but without a confirmed diagnosis?

1 = not confident at all
100= very confident",Not confident at all | Very confident,,number,,,,,,RH,,,,
recon_12,cera_survey_2,,slider,"How confident are you about managing a patient with a diagnosis of COVID-19?

1 = not confident at all
100= very confident",Not confident at all | Very confident,,number,,,,,,RH,,,,
recon_5,cera_survey_2,,slider,"How prepared do you feel personally for dealing with COVID-19?

1 = not prepared at all
100= very prepared",Not prepared at all | Very prepared,,number,,,,,,RH,,,,
recon_13,cera_survey_2,,slider,"How prepared do you feel your Emergency Department is for dealing with COVID-19?

1 = not prepared at all
100= very prepared",Not prepared at all | Very prepared,,number,,,,,,RH,,,,
recon_14,cera_survey_2,,slider,"How prepared do you feel your Hospital is for dealing with COVID-19? 

1 = not prepared at all
100= very prepared",Not prepared at all | Very prepared,,number,,,,,,RH,,,,
pmq1,cera_survey_3,"As a participant in this study, please answer the questions below concerning the PAST WEEK. Thank you!",dropdown,"On average, how many pills did you take each day last week?","0, Less than 5 | 1, 5-10 | 2, 6-15 | 3, Over 15",,,,,,,,,,,,
pmq2,cera_survey_3,,dropdown,"Using the handout, which level of dependence do you feel you are currently at?","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
choices,cera_survey_3,"Concerning the past week, how do you feel about ...",radio,The choices you made,"1, Not satisfied at all | 2, Somewhat dissatisfied | 3, Indifferent | 4, Somewhat satisfied | 5, Very satisfied",,,,,,,,,,feelings_matrix,,
life,cera_survey_3,,radio,Your life overall,"1, Not satisfied at all | 2, Somewhat dissatisfied | 3, Indifferent | 4, Somewhat satisfied | 5, Very satisfied",,,,,,,,,,feelings_matrix,,
job,cera_survey_3,,radio,Your job,"1, Not satisfied at all | 2, Somewhat dissatisfied | 3, Indifferent | 4, Somewhat satisfied | 5, Very satisfied",,,,,,,,,,feelings_matrix,,
family,cera_survey_3,,radio,Your family life,"1, Not satisfied at all | 2, Somewhat dissatisfied | 3, Indifferent | 4, Somewhat satisfied | 5, Very satisfied",,,,,,,,,,feelings_matrix,,
send_survey_2,office_use,,yesno,Send survey 2?,,,,,,,,,,,,,
send_survey_3,office_use,,yesno,Send survey 3?,,,,,,,,,,,,,
